tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
320;0.000126614;0.647593583;0.341408451;0.139197776;-0.000234549;0.563;2018
321;0.000130557;0.66209893;0.363380282;0.135755891;0.005981002;0.563;2018
322;0.000137222;0.661631016;0.419953052;0.13482923;0.054180837;0.561;2018
323;0.000140978;0.66046123;0.437323944;0.108551761;0.127008326;0.5605;2018
324;0.00014294;0.659057487;0.461877934;0.081810961;0.172979946;0.5645;2018
325;0.000144774;0.658121658;0.492347418;0.059769658;0.197255776;0.567;2018
326;0.000135363;0.657653743;0.375399061;0.044214985;0.181306438;0.5575;2018
327;0.000129197;0.655782086;0.358309859;0.036536934;0.13897033;0.564;2018
328;0.000126002;0.657419786;0.392300469;0.037728356;0.076932098;0.5675;2018
329;0.000126282;0.656483957;0.407511737;0.046266878;0.014072945;0.5565;2018
330;0.000138185;0.660227273;0.494178404;0.056327773;-0.000234549;0.546;2018
331;0.000147659;0.66467246;0.675633803;0.06744771;-0.000117275;0.5475;2018
332;0.000147259;0.664438503;0.659859155;0.084723325;-0.000117275;0.5445;2018
333;0.000141625;0.654846257;0.504319249;0.09438708;-0.000234549;0.5395;2018
334;0.000136195;0.65625;0.410798122;0.115965052;-0.000234549;0.543;2018
335;0.000142252;0.659057487;0.470328638;0.13535875;-0.000234549;0.548;2018
336;0.000140597;0.658589572;0.384647887;0.157532433;-0.000234549;0.5485;2018
337;0.000132608;0.656016043;0.35971831;0.185861795;-0.000234549;0.5405;2018
